127.0.0.1 - - [28/Sep/2018:10:13:23 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:13:26 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:13:26 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:13:26 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:13:28 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:13:28 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:13:28 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:13:28 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:13:42 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2632
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:13:42 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:13:42 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:13:42 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:13:42 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:20:38 +0900] "POST /sample-web/CartAction HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:20:38 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:23:56 +0900] "POST /sample-web/ProductListAction HTTP/1.1" 200 5798
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:23:56 +0900] "GET /sample-web/images/sample.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:23:56 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:23:57 +0900] "GET /sample-web/ProductDetailsAction.action?productId=2 HTTP/1.1" 200 5832
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:24:04 +0900] "POST /sample-web/SearchItemAction HTTP/1.1" 200 5719
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:24:08 +0900] "POST /sample-web/CartAction HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:24:10 +0900] "POST /sample-web/GoLoginAction HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:24:12 +0900] "POST /sample-web/ProductListAction HTTP/1.1" 200 5720
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:24:17 +0900] "POST /sample-web/SearchItemAction HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:24:20 +0900] "POST /sample-web/SearchItemAction HTTP/1.1" 200 5542
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:45:58 +0900] "POST /sample-web/GoLoginAction HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:45:58 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:46:09 +0900] "POST /sample-web/LoginAction.action HTTP/1.1" 200 2714
0:0:0:0:0:0:0:1 - - [28/Sep/2018:10:46:13 +0900] "POST /sample-web/MyPageAction HTTP/1.1" 200 3608
0:0:0:0:0:0:0:1 - - [28/Sep/2018:11:38:59 +0900] "POST /sample-web/ProductListAction HTTP/1.1" 200 5798
0:0:0:0:0:0:0:1 - - [28/Sep/2018:11:38:59 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [28/Sep/2018:11:39:00 +0900] "GET /sample-web/ProductDetailsAction.action?productId=1 HTTP/1.1" 200 5832
